particulars,functions_programs_or_project_1,functions_programs_or_project_2,functions_programs_or_project_3,functions_programs_or_project_4,code,appropriations,allotments,obligations,balances_of_appropriation,balances_of_allotment,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of PR, Talisoy, VRC",-300-29h,400000,-,-,400000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of PR (Concreting and Drainage), Calatagan Tibang, VRC",-300-29i,400000,-,-,400000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Upgrading of Roads at Jct Calatagan to Hicming,-300-29j,600000,-,-,600000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading Of Roads and Bridges, Provincewide",-300-29k,3000000,750000,-,3000000,750000,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Additional Install. Of Concrete Pipes at Jct PR to Yocti, SA",-300-29L,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation Of Datag-Maui FTMR, Caramoran",-300-29m,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation Of Bonifacio St., Sta. Teresa, Bagamanoc",-300-29n,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Upgrading Of Antipolo-Igang PR,-300-29o,3000000,-,-,3000000,-,
June 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting Of Almojuela St., Libod, Pandan",-300-29p,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,"Bridges, Spillways and Culverts","Bridges, Spillways and Culverts","Construction Of Box Culvert to Pinatawan Creek, Osmeña, Viga",-300-30a,500000,500000,3000,497000,497000,
June 20% Economic Development Fund 2012,Social Sector,"Bridges, Spillways and Culverts","Bridges, Spillways and Culverts","Const Of Spillway, back Of Rizal E or S to Sitio Cantuba, Viga",-300-30b,400000,-,-,400000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,"Construction Of Cabcab Seawall (Phase III), SA",-300-28a,500000,500000,3000,500000,497000,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,"Construction Of Bislig Seawall (Phase III), SA",-300-28b,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,"Repair or Rehabilitation Of Carangag River Control, SA",-300-28c,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,"Construction Of San Pedro-San Roque Drainage System, Virac",-300-28d,500000,-,-,497000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,Construction Of SIV-Palnab del Sur Drainage System,-300-28e,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,Construction Of Bigaa Drainage System,-300-28f,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,Construction Of Constantino Drainage System,-300-28g,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,Construction Of Calatagan Drainage System,-300-28h,300000,-,-,300000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,Construction Of Bagatabao Seawall Embankment,-300-28i,170000,-,-,170000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,Improvement Of Museum Center (Tourism Program),-300-29a,1500000,1500000,20849,1479151,1479151,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,"Completion Of Tramline Access Transport Facility for Farmers, Ba",-300-29b,1000000,-,-,1000000,-,
June 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Erosion and Flood Control Projects,"Construction Of Provl Multi-Purpose Bldg. (PAFC), Phase V",-300-29d,1000000,-,-,1000000,-,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Improvement of Materials Recovery Facility (MRF),Improvement of Materials Recovery Facility (MRF),8919-300-29e-1,214388,-,-,214388,-,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Establishment of Community Nurseries,300-0.29,335612,-,-,335612,-,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Debt Amortization,-300-29f,11200000,6200000,3653016.18,7546983.82,2546983.82,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,"Embankment Of Passenger Terminal Site, Viga",-300-31a,1000000,-,-,1000000,-,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,"Construction Of Terminal (Phase II), Panganiban",-300-31b,500000,-,-,500000,-,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Rehabilitation Of Camp Francisco Camacho cum Multi-Purpose Bldg.,-300-31d,-,-,-,-,-,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Rehabilitation Of Quality Control Bldg. (Phase II),-300-31e,200000,-,-,200000,-,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Construction Of Youth Center Mall (Phase III),-300-31f,14500000,14500000,14314178.57,185821.43,185821.43,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Rehabilitation Of Dome and Other Facilities,-300-31g,300000,-,-,300000,-,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,"Construction Of Youth Center Mall, Phase IV",8919-300-32,8911528.88,8911528.88,-,8911528.88,8911528.88,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Medical Equipment,200-33,250000,250000,"-
-",250000,250000,
June 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Tourism Program (Virac Fountain),200-34,150000,150000,-,150000,150000,
June 20% Economic Development Fund 2012,Total - June 2012,Total - June 2012,Total - June 2012,Total - June 2012,-,86540344.88,51011528.88,23473972.17,63066372.71,27537556.71,
June 20% Continuing 2011,Social Sector,Social Sector,PDPFP Update and Data Research Project,PDPFP Update and Data Research Project,8919-200-1,13219.27,13219.27,-,13219.27,13219.27,
June 20% Continuing 2011,Social Sector,Social Sector,Counterpart for Construction of 6 Sch. Bldgs.(Chinese Chamber),Counterpart for Construction of 6 Sch. Bldgs.(Chinese Chamber),-300-2a,600000,600000,589985,10015,10015,
June 20% Continuing 2011,Social Sector,Social Sector,"Construction, Alma E or S Stage, San Miguel","Construction, Alma E or S Stage, San Miguel",-300-2d,293921.34,293921.34,292000.98,1920.36,1920.36,
June 20% Continuing 2011,Social Sector,Social Sector,"Rehabilitation of One (1) CL S or B, Bagawang, Pandan","Rehabilitation of One (1) CL S or B, Bagawang, Pandan",-300-2e,341540.53,341540.53,338867.29,2673.24,2673.24,
June 20% Continuing 2011,Social Sector,Water System,"Construction, Canlubi Water System (Reservoir), Pandan","Construction, Canlubi Water System (Reservoir), Pandan",-300-3a,290351.44,290351.44,286847.51,3503.93,-,
June 20% Continuing 2011,Social Sector,Water System,"Construction, Katipunan Water Tank, San Miguel","Construction, Katipunan Water Tank, San Miguel",-300-3b,242919.14,242919.14,238438.25,4480.89,3503.93,
June 20% Continuing 2011,Social Sector,Water System,"Construction, District I Water Tank, San Miguel","Construction, District I Water Tank, San Miguel",-300-3c,250000,250000,-,250000,4480.89,
June 20% Continuing 2011,Social Sector,Water System,"Construction, Lictin Water Tank, San Andres","Construction, Lictin Water Tank, San Andres",-300-3d,141784.5,141784.5,139198.97,2585.53,250000,
June 20% Continuing 2011,Social Sector,Water System,"Construction, Calampong Water Tank, Virac","Construction, Calampong Water Tank, Virac",-300-3e,291034.01,291034.01,289534.01,1500,2585.53,
June 20% Continuing 2011,Social Sector,Others,Rehabilitation of Sogod Simamla Day Care Center,Rehabilitation of Sogod Simamla Day Care Center,-300-4a,145548.42,145548.42,143793.75,1754.67,1754.67,
June 20% Continuing 2011,Social Sector,Others,"Concreting, Tokyo Plaza, Pandan","Concreting, Tokyo Plaza, Pandan",300-4e,830474.62,830474.62,-,830474.62,830474.62,
June 20% Continuing 2011,Social Sector,Others,"Levelling, Tokyo Plaza, Pandan, Phase II","Levelling, Tokyo Plaza, Pandan, Phase II",-300-4f,1595801,1595801,5000,1590801,1590801,
June 20% Continuing 2011,Social Sector,Others,"Construction, Dugui Wala San Isidro Multi-Purpose Hall, Phase I","Construction, Dugui Wala San Isidro Multi-Purpose Hall, Phase I",-300-4h,494290.59,494290.59,492277.5,2013.09,2013.09,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Road Opening, Bislig Brgy Road, San Andres","Road Opening, Bislig Brgy Road, San Andres",-300-5b,146504.9,146504.9,144390.91,2113.99,2113.99,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Road Opening Of Balangonan-Sitio Kagnipa FMR, Pandan","Road Opening Of Balangonan-Sitio Kagnipa FMR, Pandan",-300-5c,-,-,-,-,-,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Construction, Sogod Tibgao Brgy. Road, Virac","Construction, Sogod Tibgao Brgy. Road, Virac",-300-5d,289427.56,289427.56,285291.5,4136.06,4136.06,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Sto. Cristo St., Calatagan Proper, Virac","Concreting Of Sto. Cristo St., Calatagan Proper, Virac",-300-5h,388371.23,388371.23,384499.5,3871.73,3871.73,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Francia Brgy. Road, Virac","Concreting Of Francia Brgy. Road, Virac",-300-5i,174395,174395,168745,5650,5650,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Cabihian Brgy. Road, Virac","Concreting Of Cabihian Brgy. Road, Virac",-300-5j,194889.11,194889.11,180746.65,14142.46,14142.46,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Sta. Elena Road Shouldering, Virac","Concreting Of Sta. Elena Road Shouldering, Virac",-300-5n,80000,80000,-,80000,80000,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Hicming Brgy. Road, Virac","Concreting Of Hicming Brgy. Road, Virac",-300-5o,289427.56,289427.56,285751.8,3675.76,3675.76,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga",-300-5p,-,-,-,-,-,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Concreting, District II Brgy. Road, San Miguel","Rehabilitation or Concreting, District II Brgy. Road, San Miguel",-300-5q,973289.2,973289.2,966289.2,7000,7000,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto",-300-5r,-,-,-,-,-,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Esperanza Concrete Pavement, San Andres","Rehabilitation Of Esperanza Concrete Pavement, San Andres",-300-5s,243101.05,243101.05,240601.05,2500,2500,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac",-300-5t,970934.5,970934.5,962934.5,8000,8000,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Restoration, Prov'l Roads and Bridges","Rehabilitation or Restoration, Prov'l Roads and Bridges",-300-5v,753491.87,753491.87,304100,449391.87,449391.87,
June 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Riprapping, San Roque Brgy. Road, Bato","Riprapping, San Roque Brgy. Road, Bato",-300-5w,497880,497880,481734.14,16145.86,16145.86,
June 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Rehabilitation, Gogon Bridge Approach","Rehabilitation, Gogon Bridge Approach",-300-6a,250000,250000,-,250000,250000,
June 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Construction, Batong Paloway Spillway, San Andres","Construction, Batong Paloway Spillway, San Andres",-300-6b,2911945.24,2911945.24,80,2911865.24,2911865.24,
June 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel",-300-6d,376417.42,376417.42,376417.42,-,-,
June 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Construction, Bislig Seawall, San Andres","Construction, Bislig Seawall, San Andres",-300-7a,481846.8,481846.8,3580,478266.8,478266.8,
June 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Construction, Cabcab Seawall, San Andres","Construction, Cabcab Seawall, San Andres",-300-7c,469432.04,469432.04,469432.04,-,-,
June 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation Of SACES Drainage System, Phase II, SA","Rehabilitation Of SACES Drainage System, Phase II, SA",-300-7f,-,-,-,-,-,
June 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation Of Dugui Wala, San Vicente River Control, Virac","Rehabilitation Of Dugui Wala, San Vicente River Control, Virac",-300-7h,194112.8,194112.8,190703.39,3409.41,3409.41,
June 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.","Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.",300-10,-,-,-,-,-,
June 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Renovation, Youth Center","Renovation, Youth Center",300-12,484930.73,484930.73,-253833.66,231097.07,231097.07,
June 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,300-13,344309.5,344309.5,-,344309.5,344309.5,
